,mothers_education,fathers_education,mothers_job,fathers_job,G1,G2,final_grade
0,4,4,2,3,0,11,11
1,1,1,2,2,9,11,11
2,1,1,2,1,12,13,12
3,4,2,4,4,14,14,14
4,3,3,0,0,11,13,13
5,4,3,1,0,12,12,13
6,2,2,0,0,13,12,13
7,4,4,0,3,10,13,13
8,3,2,1,0,15,16,17
9,3,4,0,0,12,12,13
10,4,4,3,4,14,14,14
11,2,1,1,0,10,12,13
12,4,4,4,1,12,13,12
13,4,3,3,0,12,12,13
14,2,2,0,0,14,14,15
15,4,4,4,0,17,17,17
16,4,4,1,1,13,13,14
17,3,3,0,0,13,14,14
18,3,2,1,1,8,8,7
19,4,3,4,0,12,12,12
20,4,3,3,0,12,13,14
21,4,4,4,4,11,12,12
22,4,2,3,0,12,13,14
23,2,2,0,0,10,10,10
24,2,4,1,4,10,11,10
25,2,2,1,1,10,11,12
26,2,2,0,0,11,12,12
27,4,2,4,1,11,11,11
28,3,4,1,0,12,12,13
29,4,4,3,3,12,11,12
30,4,4,4,1,10,11,11
31,4,4,1,1,15,15,15
32,4,3,3,2,13,14,15
33,3,3,0,0,13,12,12
34,3,2,0,0,12,12,12
35,2,3,0,0,11,11,11
36,4,3,3,1,14,14,14
37,4,4,0,3,13,13,13
38,3,4,1,4,11,12,12
39,2,2,2,0,14,13,12
40,2,2,0,0,11,11,10
41,4,4,3,0,10,11,11
42,4,4,1,3,14,15,15
43,2,2,1,1,9,10,10
44,2,2,0,2,10,11,11
45,4,3,0,0,10,11,11
46,3,3,0,1,13,12,13
47,4,3,4,1,17,17,17
48,4,2,3,0,11,12,13
49,4,4,1,3,13,12,12
50,2,2,1,1,14,13,13
51,4,2,4,0,16,14,16
52,4,2,4,4,10,9,9
53,4,4,1,1,13,12,12
54,3,3,0,0,13,12,13
55,2,1,0,0,12,13,12
56,4,3,1,1,15,14,15
57,4,4,3,4,15,15,16
58,1,2,0,2,14,13,14
59,4,2,1,0,16,15,16
60,4,4,4,3,17,16,16
61,1,1,1,1,10,10,16
62,1,2,0,1,13,13,10
63,4,3,3,4,14,13,13
64,4,3,1,1,13,12,12
65,4,3,3,1,16,15,16
66,4,4,0,1,11,12,12
67,3,1,1,0,10,9,10
68,2,2,4,1,11,10,11
69,3,1,0,0,15,15,15
70,3,1,0,0,13,11,11
71,4,2,0,0,11,9,10
72,1,1,0,0,13,11,11
73,3,1,0,0,13,13,14
74,3,3,0,1,11,11,11
75,4,3,3,0,11,11,11
76,4,0,3,0,12,11,11
77,2,2,0,0,13,13,13
78,2,1,0,0,9,9,10
79,3,4,2,0,12,11,11
80,2,3,0,1,11,11,12
81,2,3,0,0,10,9,9
82,3,2,1,0,12,11,11
83,2,2,1,1,13,12,13
84,1,1,0,0,13,12,12
85,4,4,1,1,12,11,12
86,2,2,2,0,13,11,11
87,4,2,0,0,15,15,15
88,2,2,1,0,12,10,11
89,4,4,3,4,9,9,10
90,3,3,0,0,9,11,11
91,4,3,1,0,14,13,13
92,3,1,0,0,12,13,12
93,4,2,3,1,13,14,14
94,2,2,1,4,11,12,12
95,1,1,2,0,13,13,13
96,4,3,1,0,9,11,11
97,2,1,0,0,13,12,12
98,4,4,0,0,12,13,13
99,4,3,0,2,12,13,13
100,4,4,1,1,9,9,8
101,4,4,1,3,16,16,16
102,4,4,1,0,12,13,12
103,3,2,1,0,11,10,10
104,3,4,1,0,16,16,16
105,3,3,0,4,10,10,10
106,2,2,0,0,10,10,10
107,3,3,1,0,13,14,14
108,4,4,0,0,12,10,11
109,4,4,4,4,15,15,14
110,4,4,3,3,13,14,14
111,3,3,1,0,11,11,11
112,2,2,2,0,8,10,10
113,4,2,3,0,18,17,18
114,2,1,4,1,10,9,10
115,4,4,3,3,16,14,14
116,4,4,0,3,16,15,16
117,3,3,0,1,14,14,15
118,1,3,0,0,12,11,11
119,3,4,0,0,14,13,14
120,1,2,2,1,14,14,14
121,2,2,1,1,14,13,13
122,2,4,0,4,14,12,13
123,4,4,4,0,12,13,13
124,2,2,0,0,12,11,11
125,3,4,1,1,9,9,9
126,3,4,0,0,10,11,11
127,0,1,2,0,9,10,11
128,4,4,3,3,14,14,15
129,2,3,0,0,13,12,13
130,3,4,1,3,10,11,12
131,2,1,1,0,10,9,8
132,2,1,0,0,11,10,11
133,1,1,2,0,11,12,13
134,2,2,0,0,13,12,12
135,3,4,1,0,15,13,14
136,2,1,2,0,9,9,11
137,2,2,0,0,13,11,11
138,3,4,2,3,12,11,11
139,4,4,1,2,13,14,15
140,3,4,2,0,10,9,10
141,1,1,2,0,14,13,13
142,3,1,1,1,11,11,12
143,3,2,0,1,12,11,11
144,1,1,0,1,12,11,11
145,3,3,0,0,9,9,10
146,1,1,1,0,10,10,10
147,4,4,3,3,13,14,14
148,1,1,0,0,8,9,9
149,4,3,3,1,9,11,11
150,3,3,1,1,9,8,9
151,4,4,1,1,15,13,13
152,2,2,1,1,12,11,11
153,4,4,3,1,13,13,13
154,1,1,2,2,10,11,11
155,2,1,0,0,9,7,6
156,1,1,0,1,12,12,12
157,2,1,2,0,11,10,10
158,3,2,4,1,11,11,11
159,1,2,2,0,13,12,13
160,1,2,2,1,11,11,11
161,4,4,3,3,9,9,8
162,2,1,1,0,12,11,11
163,1,1,0,0,11,9,0
164,2,1,2,0,9,10,10
165,3,3,1,1,13,13,13
166,3,2,1,2,11,9,11
167,4,4,0,3,13,13,13
168,2,3,2,1,7,8,8
169,1,2,0,0,9,8,10
170,1,1,2,0,11,10,11
171,2,2,2,0,12,10,11
172,3,3,0,1,10,10,1
173,1,2,4,1,9,8,10
174,2,1,2,0,8,8,9
175,3,2,0,0,7,6,8
176,1,2,0,0,8,9,10
177,1,3,2,1,9,8,8
178,1,1,0,1,8,8,8
179,3,2,1,1,8,7,8
180,2,2,0,0,9,10,11
181,4,2,4,1,17,17,18
182,2,2,0,0,12,12,13
183,4,4,4,4,16,16,17
184,3,4,0,0,9,9,10
185,1,0,0,0,16,17,18
186,4,4,3,0,11,9,10
187,1,3,2,1,14,13,13
188,3,3,0,0,14,14,15
189,4,3,3,0,10,11,11
190,2,2,1,0,13,12,14
191,3,3,0,0,11,9,10
192,4,2,3,1,10,9,11
193,4,3,0,0,11,11,13
194,4,3,3,0,11,10,11
195,3,3,1,0,11,12,13
196,2,4,1,1,17,18,17
197,3,3,0,0,14,13,14
198,3,2,0,0,14,15,16
199,3,3,1,1,11,13,14
200,1,2,1,1,10,9,11
201,2,1,0,0,13,14,16
202,3,3,4,0,12,13,14
203,1,2,2,0,9,9,10
204,2,3,1,1,12,12,13
205,1,1,2,1,12,11,12
206,1,2,2,1,10,11,12
207,3,3,1,1,11,10,10
208,2,3,0,0,13,12,12
209,2,4,1,1,14,15,16
210,4,4,1,3,13,13,14
211,3,3,3,0,10,11,12
212,4,4,1,3,14,15,16
213,4,4,3,3,11,10,11
214,4,3,4,0,14,14,15
215,2,3,0,0,11,12,12
216,1,1,0,0,14,15,15
217,2,2,0,0,13,13,13
218,2,2,1,1,13,13,13
219,3,4,2,1,8,9,8
220,3,1,1,0,11,11,12
221,4,3,3,0,14,15,15
222,1,1,2,0,12,13,13
223,4,3,3,0,11,12,12
224,3,3,0,0,12,12,12
225,4,4,1,0,13,12,12
226,2,2,0,0,13,13,13
227,2,2,1,0,12,11,11
228,4,4,1,0,12,11,11
229,3,2,0,0,14,16,15
230,4,3,0,0,11,9,10
231,3,3,1,4,10,10,10
232,2,3,2,0,12,13,13
233,2,2,2,2,12,12,13
234,2,1,2,1,11,10,11
235,1,1,2,0,12,12,12
236,2,3,1,3,13,13,14
237,2,2,0,0,10,9,10
238,4,4,3,1,15,16,16
239,3,1,0,0,8,8,8
240,3,2,0,0,17,18,17
241,2,3,1,1,10,11,11
242,2,1,2,0,9,10,11
243,2,1,0,0,15,15,16
244,4,3,4,0,14,12,12
245,2,2,0,0,12,13,13
246,4,4,3,3,13,13,13
247,4,4,4,0,13,13,14
248,1,1,0,0,9,9,9
249,3,2,2,0,12,12,12
250,2,2,0,0,16,16,16
251,2,1,0,0,9,10,10
252,4,1,0,0,14,13,13
253,2,4,1,0,10,10,10
254,2,2,2,1,9,8,10
255,3,3,0,0,8,7,7
256,2,2,0,2,7,8,8
257,4,4,3,3,10,8,9
258,3,2,0,0,14,14,15
259,1,1,2,2,11,10,10
260,1,2,0,0,12,11,11
261,2,1,2,1,13,13,13
262,1,4,0,0,9,9,8
263,2,2,0,1,8,7,8
264,2,2,0,0,11,9,10
265,1,1,2,0,15,14,15
266,4,2,3,0,15,14,14
267,4,3,4,0,15,15,15
268,4,4,3,0,12,12,12
269,4,3,3,0,14,14,15
270,4,4,1,1,14,15,15
271,4,4,3,1,11,11,12
272,1,1,0,0,13,14,15
273,3,3,1,0,11,11,11
274,1,1,2,0,10,9,10
275,2,1,0,0,12,10,11
276,2,1,0,0,15,16,16
277,1,1,0,1,11,10,11
278,2,3,0,0,9,12,13
279,3,1,1,1,7,8,5
280,3,3,0,1,10,9,10
281,0,2,0,0,11,12,11
282,3,2,1,0,7,8,7
283,3,3,2,0,9,11,10
284,2,1,1,1,7,8,6
285,2,1,0,0,14,13,12
286,2,1,0,0,12,12,13
287,1,1,4,0,9,10,10
288,2,1,0,0,12,12,13
289,4,2,3,1,14,15,17
290,2,2,1,1,10,10,11
291,2,1,1,0,11,10,11
292,4,2,0,0,11,12,14
293,1,1,0,2,11,12,14
294,2,2,0,0,11,11,13
295,4,3,1,2,11,13,14
296,2,1,0,0,16,16,16
297,2,2,0,1,9,10,10
298,2,2,1,1,10,11,12
299,2,1,0,0,10,12,12
300,4,3,1,0,15,15,15
301,4,3,3,0,10,10,11
302,3,2,0,0,10,11,12
303,3,3,0,0,15,12,13
304,2,2,2,1,11,12,13
305,2,2,0,0,8,8,9
306,3,4,0,0,15,16,16
307,3,1,1,0,11,11,14
308,4,4,3,0,10,11,12
309,4,2,4,0,10,12,14
310,2,1,0,0,8,9,10
311,3,3,0,1,11,12,12
312,2,3,0,1,16,16,16
313,1,1,0,0,13,13,13
314,1,2,2,2,16,17,18
315,2,1,0,0,14,14,15
316,2,4,2,4,15,16,16
317,2,2,1,0,12,12,12
318,3,2,0,1,12,9,10
319,4,4,3,1,11,12,12
320,4,4,4,4,14,12,13
321,2,2,0,1,13,15,15
322,3,2,1,1,9,8,10
323,4,3,3,1,10,10,10
324,1,2,2,0,10,10,11
325,4,1,1,0,11,11,10
326,3,2,3,1,13,13,13
327,1,1,2,0,17,17,18
328,1,1,0,0,12,13,13
329,2,2,0,0,12,12,14
330,2,1,0,0,12,13,14
331,1,1,0,0,12,12,12
332,2,2,2,2,18,18,18
333,1,1,1,3,13,13,14
334,2,1,1,1,14,15,15
335,4,4,3,3,17,17,17
336,4,2,3,0,15,16,16
337,4,3,4,1,17,18,18
338,3,1,1,0,18,19,19
339,3,2,1,0,14,15,15
340,3,3,4,0,14,15,15
341,4,4,4,0,14,13,13
342,4,3,0,0,13,14,14
343,4,3,0,0,16,17,17
344,4,4,3,3,18,18,17
345,4,4,4,0,14,15,15
346,4,4,0,3,12,13,13
347,4,4,1,1,7,7,8
348,4,2,0,0,16,16,16
349,3,2,4,4,18,18,18
350,2,1,2,1,9,10,11
351,3,2,1,0,14,15,15
352,3,3,0,1,10,10,11
353,1,4,0,3,10,10,11
354,2,1,1,0,12,12,15
355,2,3,0,0,11,12,14
356,4,4,3,3,15,16,17
357,4,3,0,0,14,15,17
358,4,3,4,1,12,12,15
359,3,4,2,1,15,15,17
360,3,3,2,0,11,12,14
361,4,2,4,0,11,10,10
362,4,4,3,0,12,11,13
363,3,4,0,0,11,12,14
364,4,4,4,4,14,15,17
365,4,3,1,1,15,14,17
366,3,3,1,0,12,12,13
367,2,1,0,0,11,12,14
368,4,4,0,0,8,9,11
369,1,1,0,0,10,10,11
370,1,1,0,0,8,8,9
371,2,2,0,0,10,10,10
372,2,2,0,0,14,13,13
373,2,2,1,1,11,11,10
374,3,1,1,1,17,18,17
375,0,2,2,2,14,14,15
376,1,1,0,0,14,14,14
377,4,4,0,0,13,14,13
378,3,3,0,1,17,18,17
379,2,2,1,0,11,10,10
380,4,4,3,1,13,12,13
381,4,4,3,3,15,14,15
382,3,3,2,0,11,12,11
383,2,2,0,0,11,11,12
384,3,2,2,1,11,10,10
385,2,2,2,0,10,9,10
386,2,4,2,0,15,15,15
387,2,2,0,0,15,14,15
388,3,3,1,1,10,11,12
389,2,2,0,0,10,9,12
390,2,2,2,0,14,13,14
391,3,4,1,0,11,13,14
392,3,2,0,0,12,13,15
393,3,3,1,1,14,14,15
394,3,2,0,0,14,14,16
395,4,4,3,1,12,12,13
396,3,4,1,0,16,16,17
397,2,2,2,2,10,12,14
398,2,3,2,0,11,12,14
399,3,2,0,1,14,16,17
400,4,3,3,1,15,14,17
401,4,3,3,0,14,13,14
402,4,3,4,0,11,12,13
403,2,1,1,0,12,15,15
404,2,1,1,0,12,16,16
405,2,3,2,0,10,11,11
406,3,1,0,2,10,13,13
407,4,4,0,0,9,12,12
408,2,2,1,1,9,11,12
409,3,4,0,0,13,14,15
410,2,2,1,1,13,17,17
411,4,4,4,0,12,15,15
412,4,2,3,0,14,17,17
413,1,1,2,0,9,10,10
414,1,1,0,0,11,15,15
415,4,4,3,0,9,10,11
416,3,2,0,0,16,18,18
417,3,2,2,0,14,17,17
418,2,3,0,1,13,14,14
419,2,1,0,0,7,11,11
420,2,2,1,0,14,17,17
421,1,0,0,0,8,10,10
422,3,2,1,0,10,13,13
423,1,3,2,0,10,11,11
424,2,2,0,0,12,12,12
425,1,1,2,1,10,10,10
426,3,3,2,0,10,10,11
427,2,3,2,1,16,17,17
428,2,1,2,0,6,8,9
429,4,4,2,0,10,11,11
430,1,2,0,0,10,11,11
431,3,2,2,0,10,10,10
432,1,1,0,0,6,6,7
433,4,4,3,0,13,14,14
434,2,2,2,0,10,9,11
435,1,1,2,1,10,10,10
436,1,1,0,1,6,7,8
437,0,2,0,0,12,11,12
438,2,3,0,0,10,11,12
439,3,3,0,1,14,16,16
440,1,1,2,1,7,0,0
441,1,1,0,0,8,9,9
442,4,1,4,1,12,13,14
443,4,1,4,1,7,9,8
444,3,4,0,4,9,10,11
445,1,1,0,0,7,9,9
446,3,3,2,2,11,11,11
447,2,1,0,0,8,10,9
448,4,4,3,3,16,16,17
449,1,2,0,1,11,13,13
450,2,3,0,1,15,15,15
451,1,2,0,0,10,11,11
452,2,2,0,0,9,10,11
453,1,2,0,1,10,8,8
454,1,2,0,1,9,8,8
455,2,1,2,0,9,10,9
456,1,1,2,0,13,14,15
457,1,2,2,1,10,11,11
458,1,1,0,0,13,10,13
459,1,1,2,0,10,9,10
460,1,1,2,0,11,10,11
461,1,1,2,0,13,12,14
462,1,1,2,2,13,14,14
463,2,2,0,0,14,11,12
464,1,1,2,0,11,11,11
465,1,2,0,0,9,8,8
466,3,1,0,1,10,9,11
467,2,2,0,1,14,13,14
468,2,2,4,0,13,12,13
469,4,4,0,3,13,12,13
470,3,3,1,0,13,12,12
471,2,2,2,0,12,11,12
472,2,2,0,0,14,14,16
473,2,1,2,1,10,8,10
474,1,3,2,0,10,11,11
475,2,2,0,1,12,13,14
476,2,1,0,0,10,8,8
477,3,3,1,1,12,10,11
478,1,1,2,0,7,7,8
479,2,2,0,2,9,9,10
480,2,3,2,1,9,9,10
481,2,1,2,0,9,10,11
482,1,1,2,0,9,10,9
483,2,2,0,0,9,10,11
484,2,2,0,0,7,7,8
485,2,2,2,0,11,10,11
486,2,2,0,1,9,10,10
487,3,2,0,0,7,9,10
488,1,1,2,1,7,9,9
489,1,1,0,0,8,9,10
490,1,1,2,2,9,11,10
491,1,1,0,0,7,8,9
492,2,2,4,0,8,10,10
493,0,1,0,2,9,9,10
494,1,2,2,0,8,9,9
495,3,3,0,0,14,13,13
496,1,1,1,1,14,14,14
497,3,3,1,2,10,11,10
498,2,1,0,1,14,13,14
499,2,2,1,0,17,16,16
500,1,2,0,0,6,7,7
501,4,3,0,0,14,12,13
502,2,2,1,1,10,8,9
503,1,1,0,0,14,14,14
504,2,2,0,0,12,13,13
505,1,1,2,0,11,11,11
506,3,3,2,1,11,9,10
507,1,1,0,1,11,11,10
508,2,2,0,0,10,9,9
509,1,1,2,0,16,17,18
510,2,2,0,0,15,17,17
511,1,0,0,0,11,9,10
512,1,1,2,0,7,7,7
513,3,1,0,0,8,6,8
514,3,2,1,2,7,6,7
515,1,1,0,2,9,8,10
516,4,4,4,3,14,16,16
517,1,2,0,0,14,14,15
518,2,4,0,1,8,5,8
519,2,1,0,1,8,7,0
520,1,1,2,0,6,8,8
521,2,3,2,1,8,10,10
522,4,4,4,4,8,8,8
523,4,4,2,4,5,6,6
524,3,4,2,0,7,9,8
525,4,4,0,1,15,14,16
526,4,1,0,0,13,14,14
527,2,2,1,1,10,9,10
528,2,2,2,0,9,9,9
529,4,4,1,1,11,11,11
530,3,3,1,1,7,10,9
531,1,1,2,1,10,10,10
532,2,1,4,1,9,7,8
533,2,1,0,1,14,15,16
534,4,4,3,4,11,12,12
535,1,2,0,1,9,11,10
536,2,2,0,0,13,14,14
537,2,1,1,1,12,13,12
538,2,2,0,0,11,11,11
539,4,1,0,0,9,10,10
540,3,2,2,0,9,11,11
541,2,2,0,0,11,9,11
542,4,4,3,1,10,11,12
543,4,4,4,0,9,9,8
544,1,3,0,0,12,11,12
545,3,4,1,0,8,9,8
546,4,4,4,4,13,15,16
547,4,1,0,2,10,11,11
548,1,1,2,2,11,10,11
549,4,2,0,0,17,18,18
550,2,2,0,1,12,13,13
551,3,2,0,0,13,14,13
552,1,1,0,0,9,9,10
553,1,0,0,0,11,11,12
554,1,1,2,2,10,11,10
555,1,2,0,0,13,14,13
556,1,2,0,2,9,10,11
557,3,1,0,0,7,9,10
558,2,2,0,0,8,13,10
559,1,0,2,2,12,12,13
560,1,1,0,1,10,9,10
561,1,1,2,2,10,9,10
562,2,2,0,1,11,13,12
563,2,2,0,0,7,0,0
564,3,2,1,0,11,9,10
565,1,1,2,0,10,10,9
566,1,1,1,0,9,7,9
567,3,2,1,0,4,0,0
568,3,2,2,1,6,11,9
569,3,3,2,2,4,8,8
570,2,2,1,1,7,8,8
571,2,1,2,0,8,9,9
572,3,2,1,2,5,5,7
573,1,1,0,2,7,9,10
574,1,1,0,0,8,11,10
575,4,3,1,1,10,11,10
576,3,2,0,0,9,10,11
577,1,1,0,1,10,9,11
578,3,3,4,0,8,9,10
579,1,3,2,1,9,10,9
580,1,1,0,0,8,9,10
581,1,2,2,0,6,8,8
582,1,1,2,0,6,8,7
583,2,2,0,0,8,6,0
584,0,0,2,0,10,11,11
585,3,1,0,2,8,7,8
586,4,2,3,1,8,8,0
587,2,2,1,1,7,6,8
588,4,1,4,2,8,10,9
589,1,2,2,0,7,10,10
590,1,1,0,0,7,8,7
591,2,2,1,2,12,13,14
592,3,3,1,1,11,12,13
593,1,2,2,0,12,13,14
594,4,4,3,3,18,18,18
595,4,4,1,0,17,17,17
596,4,2,0,0,17,18,18
597,2,2,2,0,9,0,0
598,1,2,2,1,10,11,11
599,4,4,2,1,12,13,14
600,1,1,0,1,12,13,14
601,2,2,0,0,8,8,10
602,2,2,1,1,11,12,13
603,4,2,3,0,5,0,0
604,1,1,2,1,9,10,10
605,1,1,2,1,5,0,0
606,4,2,3,0,18,18,18
607,2,1,1,0,11,11,12
608,1,1,2,1,8,10,11
609,1,2,2,2,11,11,12
610,1,1,2,2,8,0,0
611,2,2,1,0,14,14,15
612,4,3,1,0,10,11,11
613,3,3,1,1,10,10,10
614,4,4,3,1,12,12,12
615,3,2,1,0,15,14,15
616,1,1,0,1,14,13,14
617,1,1,2,1,19,17,18
618,1,2,2,0,16,15,15
619,3,3,1,1,13,12,13
620,4,4,2,2,15,14,15
621,1,2,0,1,13,13,13
622,1,3,2,0,8,10,9
623,4,4,3,1,15,16,16
624,1,1,0,1,8,8,9
625,2,3,2,1,10,10,10
626,4,4,0,3,7,5,0
627,1,2,2,1,9,10,10
628,2,2,0,2,10,11,12
629,1,2,0,0,7,8,9
630,4,4,0,0,15,17,17
631,1,1,0,0,10,11,12
632,1,1,2,0,7,8,9
633,4,4,3,1,13,14,14
634,3,3,0,0,16,16,16
635,3,1,2,0,8,9,9
636,4,4,3,3,17,18,19
637,2,1,0,0,7,7,0
638,2,3,0,1,14,15,16
639,1,1,0,1,5,8,0
640,4,2,0,0,7,7,0
641,2,2,2,0,14,17,15
642,4,3,3,0,6,9,11
643,4,4,3,2,7,9,10
644,2,3,1,0,10,11,10
645,3,1,3,1,15,15,16
646,1,1,0,0,11,12,9
647,3,1,1,1,10,10,10
648,3,2,1,0,10,11,11
