,failures,Dalc,Walc,G1,G2,G3,Pstatus_T
0,0,1,1,0,11,11,0
1,0,1,1,9,11,11,1
2,0,2,3,12,13,12,1
3,0,1,1,14,14,14,1
4,0,1,2,11,13,13,1
5,0,1,2,12,12,13,1
6,0,1,1,13,12,13,1
7,0,1,1,10,13,13,0
8,0,1,1,15,16,17,0
9,0,1,1,12,12,13,1
10,0,1,2,14,14,14,1
11,0,1,1,10,12,13,1
12,0,1,3,12,13,12,1
13,0,1,2,12,12,13,1
14,0,1,1,14,14,15,0
15,0,1,2,17,17,17,1
16,0,1,2,13,13,14,1
17,0,1,1,13,14,14,1
18,3,2,4,8,8,7,1
19,0,1,3,12,12,12,1
20,0,1,1,12,13,14,1
21,0,1,1,11,12,12,1
22,0,1,3,12,13,14,1
23,0,2,4,10,10,10,1
24,0,1,1,10,11,10,1
25,0,1,3,10,11,12,1
26,0,1,2,11,12,12,1
27,0,2,4,11,11,11,1
28,0,1,1,12,12,13,0
29,0,5,5,12,11,12,1
30,0,3,4,10,11,11,1
31,0,1,1,15,15,15,1
32,0,1,1,13,14,15,1
33,0,1,1,13,12,12,1
34,0,1,1,12,12,12,1
35,0,1,1,11,11,11,1
36,0,1,1,14,14,14,1
37,0,1,1,13,13,13,0
38,0,1,1,11,12,12,1
39,0,1,1,14,13,12,1
40,0,1,2,11,11,10,1
41,0,2,4,10,11,11,1
42,0,1,1,14,15,15,1
43,0,1,1,9,10,10,1
44,1,2,2,10,11,11,1
45,0,1,1,10,11,11,0
46,0,1,4,13,12,13,0
47,0,1,1,17,17,17,1
48,0,2,2,11,12,13,1
49,0,1,1,13,12,12,1
50,0,2,3,14,13,13,1
51,0,1,1,16,14,16,1
52,0,3,4,10,9,9,0
53,0,2,3,13,12,12,1
54,0,4,4,13,12,13,0
55,0,1,1,12,13,12,0
56,0,1,1,15,14,15,0
57,0,1,1,15,15,16,1
58,0,1,1,14,13,14,1
59,0,1,1,16,15,16,1
60,0,2,3,17,16,16,1
61,0,5,5,10,10,16,1
62,0,1,1,13,13,10,1
63,0,2,4,14,13,13,1
64,0,2,4,13,12,12,1
65,0,1,2,16,15,16,1
66,0,5,5,11,12,12,0
67,0,1,2,10,9,10,1
68,0,1,3,11,10,11,1
69,0,2,3,15,15,15,1
70,0,1,1,13,11,11,1
71,0,1,1,11,9,10,1
72,0,2,4,13,11,11,1
73,0,2,2,13,13,14,1
74,0,2,4,11,11,11,1
75,0,2,3,11,11,11,1
76,0,1,1,12,11,11,1
77,0,1,3,13,13,13,1
78,3,1,1,9,9,10,1
79,0,1,2,12,11,11,1
80,0,1,3,11,11,12,1
81,0,1,2,10,9,9,1
82,0,1,1,12,11,11,1
83,0,1,3,13,12,13,1
84,0,2,3,13,12,12,1
85,0,2,3,12,11,12,1
86,0,1,2,13,11,11,1
87,0,1,3,15,15,15,1
88,0,1,1,12,10,11,1
89,0,3,5,9,9,10,0
90,0,1,3,9,11,11,1
91,0,1,3,14,13,13,1
92,0,2,3,12,13,12,1
93,0,1,1,13,14,14,1
94,0,1,1,11,12,12,1
95,0,1,1,13,13,13,1
96,0,1,1,9,11,11,1
97,0,1,1,13,12,12,1
98,0,1,2,12,13,13,1
99,0,1,1,12,13,13,1
100,0,5,5,9,9,8,1
101,0,1,1,16,16,16,1
102,0,1,1,12,13,12,1
103,0,1,1,11,10,10,1
104,0,1,1,16,16,16,0
105,0,1,1,10,10,10,0
106,0,1,1,10,10,10,1
107,0,1,1,13,14,14,1
108,0,3,5,12,10,11,1
109,0,1,1,15,15,14,1
110,0,1,1,13,14,14,0
111,0,1,1,11,11,11,1
112,1,1,1,8,10,10,1
113,0,1,1,18,17,18,1
114,0,1,1,10,9,10,1
115,0,1,2,16,14,14,1
116,0,1,1,16,15,16,1
117,0,1,1,14,14,15,1
118,1,1,4,12,11,11,1
119,0,1,2,14,13,14,1
120,0,1,2,14,14,14,1
121,0,1,2,14,13,13,1
122,0,1,2,14,12,13,1
123,0,1,4,12,13,13,1
124,0,1,1,12,11,11,1
125,0,3,2,9,9,9,1
126,0,1,1,10,11,11,0
127,2,1,1,9,10,11,1
128,0,2,5,14,14,15,1
129,0,2,2,13,12,13,1
130,0,2,2,10,11,12,1
131,3,1,3,10,9,8,1
132,0,1,2,11,10,11,0
133,0,1,2,11,12,13,1
134,0,1,3,13,12,12,1
135,0,1,4,15,13,14,0
136,0,1,1,9,9,11,1
137,1,1,1,13,11,11,0
138,0,1,1,12,11,11,1
139,0,1,1,13,14,15,1
140,0,2,4,10,9,10,1
141,0,1,1,14,13,13,1
142,0,4,5,11,11,12,1
143,0,5,1,12,11,11,0
144,0,1,2,12,11,11,1
145,0,1,1,9,9,10,0
146,2,1,3,10,10,10,1
147,0,1,1,13,14,14,1
148,1,1,1,8,9,9,1
149,0,1,1,9,11,11,1
150,0,2,3,9,8,9,0
151,0,1,3,15,13,13,1
152,0,2,2,12,11,11,1
153,0,1,1,13,13,13,1
154,0,3,3,10,11,11,1
155,0,1,2,9,7,6,1
156,0,1,2,12,12,12,1
157,0,1,1,11,10,10,0
158,1,1,1,11,11,11,1
159,0,1,1,13,12,13,1
160,0,2,4,11,11,11,1
161,0,2,1,9,9,8,1
162,0,2,5,12,11,11,0
163,2,2,5,11,9,0,1
164,1,3,5,9,10,10,1
165,0,2,3,13,13,13,1
166,0,1,1,11,9,11,1
167,0,1,1,13,13,13,1
168,0,1,1,7,8,8,1
169,3,3,3,9,8,10,1
170,3,1,5,11,10,11,1
171,0,1,2,12,10,11,1
172,1,4,4,10,10,1,1
173,2,3,5,9,8,10,1
174,1,2,2,8,8,9,1
175,2,1,4,7,6,8,1
176,0,2,4,8,9,10,1
177,1,1,4,9,8,8,1
178,0,1,5,8,8,8,1
179,3,1,1,8,7,8,1
180,0,2,4,9,10,11,1
181,0,1,1,17,17,18,1
182,0,1,1,12,12,13,1
183,0,1,1,16,16,17,1
184,1,2,4,9,9,10,1
185,0,1,1,16,17,18,1
186,0,1,3,11,9,10,1
187,0,1,1,14,13,13,1
188,0,1,1,14,14,15,1
189,0,4,4,10,11,11,1
190,0,1,4,13,12,14,1
191,0,1,4,11,9,10,1
192,0,3,4,10,9,11,1
193,0,1,1,11,11,13,1
194,0,2,3,11,10,11,1
195,0,1,2,11,12,13,1
196,0,2,3,17,18,17,1
197,0,2,3,14,13,14,1
198,0,1,2,14,15,16,1
199,0,2,3,11,13,14,1
200,0,1,2,10,9,11,1
201,0,1,2,13,14,16,1
202,0,1,3,12,13,14,0
203,0,1,5,9,9,10,1
204,0,1,1,12,12,13,1
205,0,1,1,12,11,12,1
206,0,4,5,10,11,12,1
207,0,3,4,11,10,10,1
208,0,1,1,13,12,12,1
209,0,1,1,14,15,16,1
210,0,1,2,13,13,14,1
211,0,3,5,10,11,12,1
212,1,2,3,14,15,16,1
213,0,1,2,11,10,11,1
214,0,1,5,14,14,15,1
215,0,1,3,11,12,12,1
216,0,1,3,14,15,15,1
217,0,1,2,13,13,13,1
218,0,1,1,13,13,13,1
219,1,3,4,8,9,8,1
220,0,2,2,11,11,12,0
221,0,1,1,14,15,15,1
222,0,1,4,12,13,13,1
223,0,1,1,11,12,12,1
224,0,1,2,12,12,12,1
225,0,4,5,13,12,12,1
226,0,1,1,13,13,13,0
227,0,2,4,12,11,11,1
228,0,1,2,12,11,11,1
229,0,1,3,14,16,15,1
230,0,2,4,11,9,10,1
231,0,2,4,10,10,10,1
232,0,1,4,12,13,13,1
233,0,1,1,12,12,13,1
234,0,1,2,11,10,11,1
235,0,1,1,12,12,12,1
236,0,1,1,13,13,14,1
237,3,5,5,10,9,10,1
238,0,1,1,15,16,16,1
239,0,1,1,8,8,8,1
240,0,1,3,17,18,17,1
241,0,1,3,10,11,11,1
242,0,4,5,9,10,11,1
243,0,1,2,15,15,16,0
244,0,1,2,14,12,12,1
245,0,1,1,12,13,13,1
246,0,1,3,13,13,13,1
247,0,2,4,13,13,14,1
248,0,1,1,9,9,9,1
249,0,1,3,12,12,12,1
250,0,5,5,16,16,16,1
251,0,1,1,9,10,10,1
252,0,1,2,14,13,13,0
253,1,1,1,10,10,10,0
254,1,1,1,9,8,10,1
255,1,1,1,8,7,7,1
256,1,2,2,7,8,8,1
257,0,1,2,10,8,9,1
258,0,1,1,14,14,15,1
259,0,1,2,11,10,10,1
260,0,1,2,12,11,11,1
261,0,1,1,13,13,13,1
262,1,1,1,9,9,8,0
263,0,3,5,8,7,8,1
264,1,1,1,11,9,10,0
265,0,1,3,15,14,15,1
266,0,1,1,15,14,14,0
267,0,1,4,15,15,15,1
268,0,2,3,12,12,12,0
269,0,1,1,14,14,15,1
270,0,1,2,14,15,15,1
271,0,1,4,11,11,12,1
272,0,1,1,13,14,15,1
273,0,2,3,11,11,11,1
274,0,1,1,10,9,10,1
275,0,1,1,12,10,11,1
276,0,1,1,15,16,16,1
277,0,1,2,11,10,11,1
278,0,1,1,9,12,13,1
279,3,5,5,7,8,5,1
280,0,1,3,10,9,10,1
281,0,2,4,11,12,11,1
282,0,2,4,7,8,7,1
283,1,1,3,9,11,10,1
284,2,2,5,7,8,6,1
285,0,1,3,14,13,12,1
286,0,2,4,12,12,13,1
287,1,1,2,9,10,10,1
288,0,1,3,12,12,13,0
289,0,1,1,14,15,17,1
290,0,1,1,10,10,11,1
291,1,4,4,11,10,11,1
292,0,1,3,11,12,14,1
293,0,2,3,11,12,14,1
294,0,1,1,11,11,13,1
295,0,1,1,11,13,14,0
296,0,1,2,16,16,16,1
297,0,1,1,9,10,10,1
298,0,1,1,10,11,12,1
299,0,1,2,10,12,12,1
300,0,1,3,15,15,15,1
301,0,1,1,10,10,11,1
302,0,1,1,10,11,12,1
303,0,1,1,15,12,13,1
304,0,1,1,11,12,13,1
305,0,2,3,8,8,9,1
306,0,3,4,15,16,16,0
307,0,3,4,11,11,14,1
308,0,2,2,10,11,12,1
309,0,1,3,10,12,14,1
310,0,1,2,8,9,10,1
311,0,3,3,11,12,12,1
312,0,1,3,16,16,16,1
313,0,1,1,13,13,13,1
314,0,2,2,16,17,18,1
315,0,1,2,14,14,15,1
316,0,1,1,15,16,16,1
317,0,2,3,12,12,12,1
318,0,1,1,12,9,10,0
319,0,1,4,11,12,12,1
320,1,1,1,14,12,13,1
321,0,1,1,13,15,15,1
322,1,4,3,9,8,10,1
323,0,1,2,10,10,10,1
324,0,2,4,10,10,11,1
325,0,2,4,11,11,10,0
326,0,3,4,13,13,13,0
327,0,1,1,17,17,18,1
328,0,1,1,12,13,13,1
329,0,1,2,12,12,14,1
330,0,1,1,12,13,14,1
331,0,1,2,12,12,12,1
332,0,1,2,18,18,18,1
333,0,1,1,13,13,14,1
334,0,1,3,14,15,15,1
335,0,1,1,17,17,17,0
336,0,1,4,15,16,16,1
337,0,1,2,17,18,18,1
338,0,1,1,18,19,19,1
339,0,1,1,14,15,15,1
340,0,1,3,14,15,15,1
341,0,2,3,14,13,13,1
342,0,1,2,13,14,14,1
343,0,1,1,16,17,17,1
344,0,2,2,18,18,17,1
345,0,1,1,14,15,15,0
346,0,2,2,12,13,13,1
347,0,1,1,7,7,8,1
348,0,1,1,16,16,16,1
349,0,1,2,18,18,18,1
350,1,1,1,9,10,11,1
351,2,1,1,14,15,15,0
352,0,1,2,10,10,11,1
353,0,1,2,10,10,11,1
354,0,1,2,12,12,15,1
355,0,1,1,11,12,14,1
356,0,1,1,15,16,17,1
357,0,1,1,14,15,17,1
358,0,1,4,12,12,15,1
359,0,2,5,15,15,17,1
360,0,1,1,11,12,14,1
361,0,1,1,11,10,10,1
362,0,3,3,12,11,13,1
363,0,1,1,11,12,14,1
364,0,1,2,14,15,17,1
365,0,1,2,15,14,17,0
366,0,1,1,12,12,13,0
367,0,2,2,11,12,14,1
368,0,3,4,8,9,11,1
369,0,4,3,10,10,11,1
370,2,1,1,8,8,9,0
371,0,2,4,10,10,10,1
372,0,1,1,14,13,13,1
373,0,2,2,11,11,10,1
374,0,2,3,17,18,17,1
375,0,2,3,14,14,15,1
376,0,1,2,14,14,14,1
377,0,2,2,13,14,13,1
378,0,3,5,17,18,17,1
379,0,5,5,11,10,10,1
380,0,1,3,13,12,13,1
381,0,1,2,15,14,15,1
382,0,2,5,11,12,11,1
383,0,2,4,11,11,12,1
384,0,2,2,11,10,10,1
385,0,1,1,10,9,10,1
386,0,1,1,15,15,15,1
387,0,1,2,15,14,15,1
388,0,1,1,10,11,12,1
389,0,1,1,10,9,12,1
390,0,1,1,14,13,14,1
391,0,1,3,11,13,14,1
392,0,2,3,12,13,15,1
393,0,1,1,14,14,15,1
394,0,2,3,14,14,16,0
395,0,2,2,12,12,13,1
396,0,1,3,16,16,17,1
397,0,1,2,10,12,14,0
398,0,1,2,11,12,14,1
399,0,2,3,14,16,17,1
400,0,1,2,15,14,17,1
401,0,2,3,14,13,14,1
402,0,1,3,11,12,13,1
403,0,2,2,12,15,15,1
404,0,2,4,12,16,16,1
405,1,3,4,10,11,11,0
406,1,1,1,10,13,13,1
407,2,1,1,9,12,12,1
408,0,1,3,9,11,12,1
409,0,1,4,13,14,15,0
410,0,1,3,13,17,17,1
411,0,1,2,12,15,15,0
412,0,1,1,14,17,17,1
413,2,5,2,9,10,10,1
414,0,1,3,11,15,15,1
415,1,4,4,9,10,11,1
416,0,1,2,16,18,18,0
417,0,1,2,14,17,17,1
418,0,4,5,13,14,14,1
419,0,1,4,7,11,11,1
420,0,1,3,14,17,17,0
421,1,1,1,8,10,10,1
422,0,1,2,10,13,13,1
423,0,1,3,10,11,11,1
424,0,1,1,12,12,12,1
425,1,1,1,10,10,10,1
426,0,2,3,10,10,11,1
427,0,1,2,16,17,17,1
428,0,1,1,6,8,9,1
429,0,1,3,10,11,11,0
430,0,1,1,10,11,11,0
431,1,1,2,10,10,10,1
432,1,2,2,6,6,7,1
433,0,3,5,13,14,14,1
434,0,1,1,10,9,11,0
435,0,1,2,10,10,10,1
436,1,1,2,6,7,8,1
437,0,1,2,12,11,12,1
438,0,1,3,10,11,12,1
439,0,1,1,14,16,16,1
440,0,4,5,7,0,0,1
441,0,2,4,8,9,9,1
442,0,1,2,12,13,14,1
443,0,1,2,7,9,8,1
444,0,1,2,9,10,11,1
445,0,2,4,7,9,9,1
446,0,1,1,11,11,11,1
447,0,5,5,8,10,9,1
448,0,1,1,16,16,17,1
449,0,1,1,11,13,13,1
450,0,1,2,15,15,15,1
451,0,1,1,10,11,11,1
452,0,1,1,9,10,11,1
453,1,1,2,10,8,8,1
454,1,1,2,9,8,8,1
455,0,3,3,9,10,9,1
456,0,2,1,13,14,15,1
457,0,5,5,10,11,11,1
458,0,1,1,13,10,13,1
459,0,1,1,10,9,10,1
460,0,1,1,11,10,11,1
461,0,4,3,13,12,14,1
462,0,1,2,13,14,14,1
463,0,2,2,14,11,12,1
464,0,3,4,11,11,11,1
465,1,2,3,9,8,8,1
466,0,1,3,10,9,11,1
467,0,1,1,14,13,14,1
468,0,1,2,13,12,13,1
469,0,1,1,13,12,13,1
470,0,1,1,13,12,12,1
471,1,2,3,12,11,12,1
472,0,1,1,14,14,16,1
473,0,2,3,10,8,10,1
474,0,3,5,10,11,11,1
475,0,1,1,12,13,14,1
476,0,1,1,10,8,8,1
477,0,2,4,12,10,11,1
478,3,1,1,7,7,8,1
479,0,1,1,9,9,10,1
480,1,1,1,9,9,10,1
481,0,1,1,9,10,11,1
482,0,1,3,9,10,9,1
483,0,1,2,9,10,11,1
484,0,1,2,7,7,8,0
485,0,1,2,11,10,11,1
486,1,1,4,9,10,10,1
487,2,1,1,7,9,10,0
488,1,1,1,7,9,9,1
489,1,3,4,8,9,10,1
490,1,1,1,9,11,10,1
491,1,4,1,7,8,9,1
492,0,1,1,8,10,10,0
493,0,3,5,9,9,10,1
494,0,1,3,8,9,9,1
495,0,1,1,14,13,13,1
496,0,2,2,14,14,14,1
497,1,3,4,10,11,10,1
498,0,1,1,14,13,14,1
499,0,1,2,17,16,16,1
500,1,5,5,6,7,7,1
501,0,1,5,14,12,13,1
502,1,3,5,10,8,9,1
503,0,1,1,14,14,14,1
504,0,1,1,12,13,13,1
505,0,1,2,11,11,11,1
506,1,2,4,11,9,10,1
507,0,1,1,11,11,10,1
508,1,1,2,10,9,9,1
509,0,1,1,16,17,18,1
510,0,1,1,15,17,17,1
511,0,1,1,11,9,10,0
512,1,1,1,7,7,7,1
513,0,1,3,8,6,8,1
514,0,1,4,7,6,7,1
515,0,1,4,9,8,10,1
516,0,2,3,14,16,16,1
517,0,1,4,14,14,15,1
518,1,1,3,8,5,8,0
519,0,1,1,8,7,0,1
520,0,1,3,6,8,8,1
521,0,1,1,8,10,10,1
522,0,1,2,8,8,8,1
523,0,5,5,5,6,6,1
524,0,1,1,7,9,8,1
525,0,1,2,15,14,16,1
526,0,1,2,13,14,14,1
527,0,2,2,10,9,10,1
528,0,1,2,9,9,9,1
529,0,1,2,11,11,11,1
530,0,5,5,7,10,9,1
531,0,3,3,10,10,10,1
532,0,1,4,9,7,8,1
533,0,1,1,14,15,16,1
534,0,2,5,11,12,12,1
535,0,1,3,9,11,10,1
536,0,2,3,13,14,14,0
537,0,1,2,12,13,12,0
538,0,2,2,11,11,11,1
539,0,2,2,9,10,10,1
540,0,2,2,9,11,11,1
541,0,1,1,11,9,11,1
542,0,1,4,10,11,12,1
543,3,1,3,9,9,8,1
544,0,3,3,12,11,12,1
545,1,3,4,8,9,8,1
546,0,1,1,13,15,16,1
547,0,2,1,10,11,11,1
548,0,1,2,11,10,11,0
549,0,2,3,17,18,18,1
550,0,2,2,12,13,13,0
551,0,2,2,13,14,13,1
552,2,3,4,9,9,10,1
553,0,1,1,11,11,12,0
554,0,2,2,10,11,10,1
555,0,1,1,13,14,13,1
556,0,2,4,9,10,11,1
557,3,1,1,7,9,10,1
558,0,3,5,8,13,10,1
559,1,1,1,12,12,13,1
560,0,1,3,10,9,10,1
561,0,1,4,10,9,10,1
562,0,1,1,11,13,12,1
563,1,2,3,7,0,0,1
564,0,2,3,11,9,10,1
565,0,2,4,10,10,9,1
566,1,2,3,9,7,9,1
567,1,2,2,4,0,0,1
568,3,1,1,6,11,9,1
569,2,1,3,4,8,8,1
570,0,2,4,7,8,8,1
571,3,1,3,8,9,9,1
572,2,1,1,5,5,7,0
573,0,1,2,7,9,10,1
574,1,2,4,8,11,10,1
575,0,3,4,10,11,10,0
576,0,5,5,9,10,11,1
577,1,3,3,10,9,11,1
578,1,2,3,8,9,10,1
579,0,2,3,9,10,9,1
580,1,3,3,8,9,10,1
581,2,1,1,6,8,8,0
582,0,1,1,6,8,7,0
583,1,1,1,8,6,0,1
584,0,1,1,10,11,11,1
585,0,2,2,8,7,8,0
586,0,1,3,8,8,0,1
587,1,1,2,7,6,8,1
588,0,1,1,8,10,9,1
589,0,1,1,7,10,10,1
590,2,2,2,7,8,7,1
591,0,1,1,12,13,14,1
592,0,1,1,11,12,13,1
593,0,1,2,12,13,14,0
594,0,1,2,18,18,18,1
595,0,1,1,17,17,17,1
596,0,1,2,17,18,18,1
597,1,1,1,9,0,0,1
598,0,5,5,10,11,11,1
599,0,1,1,12,13,14,1
600,0,3,4,12,13,14,1
601,0,1,1,8,8,10,1
602,0,1,4,11,12,13,1
603,0,1,1,5,0,0,0
604,1,1,2,9,10,10,1
605,1,2,3,5,0,0,1
606,0,3,1,18,18,18,1
607,0,1,2,11,11,12,0
608,0,1,2,8,10,11,0
609,0,1,1,11,11,12,1
610,3,1,4,8,0,0,0
611,0,1,1,14,14,15,1
612,1,1,3,10,11,11,1
613,0,1,1,10,10,10,1
614,0,1,2,12,12,12,1
615,0,1,2,15,14,15,0
616,0,1,2,14,13,14,1
617,0,1,1,19,17,18,1
618,0,1,4,16,15,15,0
619,0,1,3,13,12,13,1
620,0,1,1,15,14,15,1
621,0,1,2,13,13,13,1
622,0,2,4,8,10,9,1
623,0,2,2,15,16,16,1
624,1,1,2,8,8,9,1
625,0,1,2,10,10,10,1
626,0,4,2,7,5,0,1
627,0,2,3,9,10,10,1
628,0,1,1,10,11,12,1
629,0,1,3,7,8,9,1
630,0,1,1,15,17,17,1
631,0,1,2,10,11,12,1
632,1,1,1,7,8,9,1
633,0,3,4,13,14,14,1
634,0,1,2,16,16,16,1
635,0,2,3,8,9,9,1
636,0,1,4,17,18,19,1
637,0,1,3,7,7,0,1
638,0,1,1,14,15,16,1
639,1,1,3,5,8,0,1
640,1,4,3,7,7,0,1
641,0,1,3,14,17,15,1
642,0,1,1,6,9,11,1
643,0,2,2,7,9,10,1
644,1,1,2,10,11,10,1
645,0,1,1,15,15,16,1
646,0,1,1,11,12,9,1
647,0,3,4,10,10,10,1
648,0,3,4,10,11,11,1
